Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
3611946463,"Jun 14, 2020, 8:04:27 AM",Morning Run,Run,,4590,13.58,175.0,177,false,,,activities/3855952367.tcx.gz,,,4590.0,4590.0,13588.3,4.3,2.96,9.2,9.2,9.0,16.5,5.0,0.0,,,84.0,81.0,,164.0,,,975.0,,,177.0,,,,,,,,,,,,,0.0,,1.0,13606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3625448820,"Jun 16, 2020, 6:04:19 PM",Evening Run,Run,,2119,6.36,185.0,78,false,,,activities/3870313488.tcx.gz,,,2119.0,1557.0,6365.6,6.6,4.088,6.0,5.9,10.4,16.6,20.0,0.0,,,87.0,81.0,,170.0,,,466.0,,,78.0,,,,,,,,,,,,,0.0,,1.0,6379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3632605148,"Jun 18, 2020, 7:18:27 AM",Morning Run,Run,,4297,12.48,172.0,149,false,,,activities/3877993316.tcx.gz,,,4297.0,4290.0,12487.6,3.9,2.911,9.0,9.0,9.5,18.1,5.6,0.0,,,95.0,81.0,,162.0,,,892.0,,,149.0,,,,,,,,,,,,,0.0,,1.0,12513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3647186338,"Jun 21, 2020, 7:59:08 AM",Morning Run,Run,,2262,7.54,188.0,124,false,,,activities/3893681089.tcx.gz,,,2262.0,2262.0,7548.9,5.1,3.337,13.0,7.9,10.4,16.6,5.2,0.1,,,84.0,81.0,,173.0,,,531.0,,,124.0,,,,,,,,,,,,,0.0,,1.0,7577.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3667880561,"Jun 25, 2020, 6:26:47 AM",Morning Run,Run,,4070,11.31,171.0,132,false,,,activities/3916101532.tcx.gz,,,4070.0,4063.0,11315.7,4.0,2.785,15.4,15.3,9.7,18.1,20.0,0.0,,,90.0,82.0,,159.0,,,828.0,,,132.0,,,,,,,,,,,,,0.0,,1.0,11361.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3694553094,"Jun 30, 2020, 6:05:23 PM",Evening Run,Run,,2476,5.68,181.0,60,false,,,activities/3945214001.tcx.gz,,,2476.0,1326.0,5686.7,8.2,4.289,47.4,47.1,10.2,17.5,28.6,0.0,,,92.0,81.0,,168.0,,,467.0,,,60.0,,,,,,,,,,,,,0.0,,1.0,5749.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3701618502,"Jul 2, 2020, 7:36:16 AM",Morning Run,Run,,4597,13.64,177.0,200,false,,,activities/3952977121.tcx.gz,,,4597.0,4597.0,13640.6,4.4,2.967,7.4,7.3,9.0,16.7,5.6,0.0,,,87.0,81.0,,167.0,,,1007.0,,,200.0,,,,,,,,,,,,,0.0,,1.0,13656.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3715627359,"Jul 5, 2020, 7:59:57 AM",Morning Run,Run,,2029,7.41,181.0,98,false,,,activities/3968206103.tcx.gz,,,2029.0,2029.0,7411.1,4.9,3.653,6.4,6.3,9.8,17.7,5.0,0.0,,,85.0,82.0,,169.0,,,453.0,,,98.0,,,,,,,,,,,,,0.0,,1.0,7426.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3730766658,"Jul 8, 2020, 8:49:03 AM",Morning Run,Run,,1771,6.08,184.0,86,false,,,activities/3984723240.tcx.gz,,,1771.0,1517.0,6087.9,6.2,4.013,18.3,18.5,10.4,17.1,10.4,0.0,,,89.0,84.0,,174.0,,,413.0,,,86.0,,,,,,,,,,,,,0.0,,1.0,6122.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3749763762,"Jul 12, 2020, 8:01:49 AM",Morning Run,Run,,4184,12.70,177.0,141,false,,,activities/4005797427.tcx.gz,,,4184.0,4180.0,12708.2,5.1,3.04,91.1,8.0,9.5,94.6,26.2,0.7,,,84.0,81.0,,161.0,,,863.0,,,141.0,,,,,,,,,,,,,0.0,,1.0,13065.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
